model,activation,lr,batch_size,epochs,final_train_loss,final_val_loss,avg_epoch_time,test_loss
A,relu,0.01,8,100,0.01650133636467945,0.02607625713217569,0.0030347824096679686,0.020600831777527796
A,relu,0.01,8,150,0.014021880515216542,0.02781184478934636,0.002891063690185547,0.01945426199292256
A,relu,0.01,8,200,0.019800502902601817,0.050660036894953596,0.0030488085746765135,0.017342550569178373
A,relu,0.01,16,100,0.019321132002767194,0.03901404378803888,0.001980268955230713,0.014780905249698582
A,relu,0.01,16,150,0.015022057494968908,0.03320184806405285,0.002167684237162272,0.014247651179773486
A,relu,0.01,16,200,0.017096923298740827,0.04170257459021901,0.0019506764411926268,0.01432558303811065
A,relu,0.01,32,100,0.022424756621566313,0.039206835571855406,0.0014114809036254884,0.01551981472664134
A,relu,0.01,32,150,0.01997082352149776,0.039186395540281894,0.0016322882970174154,0.014125778153761767
A,relu,0.01,32,200,0.017309540991743026,0.028460932934394133,0.0013630962371826171,0.01725761859781596
A,relu,0.001,8,100,0.02513422373549074,0.034729448937667724,0.002899339199066162,0.01821577931594122
A,relu,0.001,8,150,0.0248814406337398,0.03496013067099704,0.0032276169459025065,0.017442464144494584
A,relu,0.001,8,200,0.02316096005585025,0.03124454632478145,0.003320479393005371,0.017985278153177773
A,relu,0.001,16,100,0.025885633666814834,0.037034520155150755,0.0020055270195007326,0.016586350279101734
A,relu,0.001,16,150,0.02540611238107901,0.03390801877806363,0.002380514144897461,0.017642023089681894
A,relu,0.001,16,200,0.024928302231658015,0.03393785531064375,0.00197428822517395,0.016835830273001538
A,relu,0.001,32,100,0.026465459226465666,0.03697618803140825,0.001396932601928711,0.01691644254997172
A,relu,0.001,32,150,0.02581558622962233,0.03758821020638099,0.00156588077545166,0.016264539283719844
A,relu,0.001,32,200,0.025758548769381,0.0344989116032871,0.0017283415794372558,0.018269282981830438
A,relu,0.0001,8,100,0.02717748397198322,0.0355803343972189,0.0049073553085327145,0.017258406770653878
A,relu,0.0001,8,150,0.02704535891399916,0.037103868914765754,0.004961360295613607,0.017241884231518602
A,relu,0.0001,8,200,0.02661391360280787,0.0351061648974668,0.0035340094566345213,0.017161571418649147
A,relu,0.0001,16,100,0.027666776915927952,0.03641647251740905,0.001912682056427002,0.01743859029649761
A,relu,0.0001,16,150,0.027180671841675018,0.03702155288139696,0.0019784975051879883,0.017139541990284588
A,relu,0.0001,16,200,0.02667347162024939,0.037494422165821745,0.0019433772563934326,0.017557642174716368
A,relu,0.0001,32,100,0.02773041600832,0.039218952620028155,0.0013150644302368163,0.016352645257366533
A,relu,0.0001,32,150,0.027605142729197507,0.039489226784126995,0.001386102040608724,0.016769618158565723
A,relu,0.0001,32,200,0.027040654698640785,0.03635260452057686,0.001338862180709839,0.01797420099795903
A,sigmoid,0.01,8,100,0.029436534676597282,0.030393007035488303,0.0033738327026367186,0.027731000046608594
A,sigmoid,0.01,8,150,0.023936541263930945,0.032452182593896574,0.003289488156636556,0.019116137695328272
